Metrica,N,Tempo_Total,Tempo_Jacobiana,Tempo_SL
L2CACHE,32,8.230590,1.972388,2.105032
L2CACHE,64,8.872977,1.975934,2.686798
L2CACHE,128,13.181159,2.125649,6.460503
L2CACHE,256,43.348615,4.744844,33.007351
L2CACHE,512,200.460161,15.557884,177.053003
L2CACHE,1000,747.474863,56.664735,675.550318
L2CACHE,2000,3192.977510,237.222772,2906.462447
L2CACHE,4000,13218.011095,862.275527,12194.260059
L2CACHE,8000,52736.154371,2941.420003,49242.299777
L2CACHE,9000,68379.731548,4843.217846,62672.886123
L2CACHE,10000,83513.967861,5372.388733,77170.402166
L2CACHE,20000,314875.673085,19647.361630,291658.439800
MEM,32,8.129240,1.939632,2.069946
MEM,64,8.868817,1.954839,2.721336
MEM,128,13.442031,2.155098,6.555552
MEM,256,43.941290,4.810098,33.408935
MEM,512,197.202980,15.024837,174.385711
MEM,1000,747.834467,54.290832,678.983221
MEM,2000,3210.318240,237.425894,2922.576223
MEM,4000,13263.084677,875.816808,12214.316366
MEM,8000,52588.944101,2945.374024,49099.928894
MEM,9000,68630.808404,4816.833247,62960.783408
MEM,10000,83675.779134,5374.943948,77330.931917
MEM,20000,314359.810088,19607.196356,291187.123247
FLOPS_DP,32,8.013538,1.921143,2.046572
FLOPS_DP,64,8.733146,1.913717,2.664441
FLOPS_DP,128,13.146829,2.108449,6.464752
FLOPS_DP,256,43.512325,4.563118,33.322775
FLOPS_DP,512,196.716285,14.807701,174.312176
FLOPS_DP,1000,748.115429,54.278891,679.327217
FLOPS_DP,2000,3205.746085,237.113696,2918.130694
FLOPS_DP,4000,13279.699788,875.590462,12231.220402
FLOPS_DP,8000,52572.521210,2931.326090,49099.395846
FLOPS_DP,9000,68647.091833,4817.946491,62976.155318
FLOPS_DP,10000,83704.713237,5372.897809,77367.278921
FLOPS_DP,20000,314879.787976,19569.131896,291761.250939
