Metrica,N,Tempo_Total,Tempo_Jacobiana,Tempo_SL
L2CACHE,32,8.004838,1.926268,2.000190
L2CACHE,64,8.087189,1.870468,2.161418
L2CACHE,128,9.186530,1.913929,2.964119
L2CACHE,256,12.928867,2.014059,6.078629
L2CACHE,512,26.153486,2.016140,18.766943
L2CACHE,1000,74.105845,2.020419,65.717335
L2CACHE,2000,172.319216,2.055289,161.657985
L2CACHE,4000,339.008847,2.018110,324.386864
L2CACHE,8000,667.529371,2.064962,644.215829
L2CACHE,9000,749.872687,2.186490,724.396696
L2CACHE,10000,832.495146,2.298273,804.426858
L2CACHE,20000,1655.441536,2.444661,1606.864529
MEM,32,8.024188,1.932195,2.001789
MEM,64,8.235210,1.904190,2.174441
MEM,128,9.357242,1.959088,3.022278
MEM,256,13.763485,2.179700,6.443734
MEM,512,27.003065,2.284183,18.997926
MEM,1000,74.842282,2.229542,65.822165
MEM,2000,171.166255,2.146971,160.314912
MEM,4000,336.029367,2.051000,321.081491
MEM,8000,668.893685,2.071478,645.350436
MEM,9000,749.714935,2.198243,724.222603
MEM,10000,832.523945,2.326282,804.506490
MEM,20000,1654.653929,2.435534,1605.943156
FLOPS_DP,32,7.957138,1.912976,2.001313
FLOPS_DP,64,8.098109,1.875917,2.149343
FLOPS_DP,128,9.085809,1.882477,2.958928
FLOPS_DP,256,12.893696,2.029747,6.111849
FLOPS_DP,512,26.327088,1.995039,18.774712
FLOPS_DP,1000,73.937034,2.043760,65.371013
FLOPS_DP,2000,170.196665,1.978527,159.799075
FLOPS_DP,4000,339.397691,2.043309,324.671201
FLOPS_DP,8000,667.568431,2.052872,644.224322
FLOPS_DP,9000,748.487943,2.193283,723.052435
FLOPS_DP,10000,832.244212,2.285529,804.387343
FLOPS_DP,20000,1653.988762,2.447377,1605.096598
