STRUCT,Info,3
CPU name:,AMD Ryzen 7 5800X 8-Core Processor             ,
CPU type:,AMD K19 (Zen3) architecture,
CPU clock:,3.791288063 GHz,
TABLE,Region Método de Newton Inteiro.,Group 1 Raw,L2CACHE,6
Region Info,HWThread 0,
RDTSC Runtime [s],0.001745,
call count,1,
Event,Counter,HWThread 0
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC0,149656
L2_PF_HIT_IN_L2,PMC1,62108
L2_PF_HIT_IN_L3,PMC2,8951
L2_PF_MISS_IN_L3,PMC3,837
CORE_TO_L2_CACHE_REQUESTS_HITS,PMC4,141323
RETIRED_INSTRUCTIONS,PMC5,23050810
TABLE,Region Método de Newton Inteiro.,Group 1 Metric,L2CACHE,7
Metric,HWThread 0,
Runtime (RDTSC) [s],0.0017,
L2 request rate,0.0096,
L2 miss rate,0.0008,
L2 miss ratio,0.0818,
L2 accesses,221552,
L2 hits,203431,
L2 misses,18121,
STRUCT,Info,3
CPU name:,AMD Ryzen 7 5800X 8-Core Processor             ,
CPU type:,AMD K19 (Zen3) architecture,
CPU clock:,3.791288063 GHz,
TABLE,Region Jacobiana,Group 1 Raw,L2CACHE,6
Region Info,HWThread 0,
RDTSC Runtime [s],0.000040,
call count,1,
Event,Counter,HWThread 0
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC0,6341
L2_PF_HIT_IN_L2,PMC1,925
L2_PF_HIT_IN_L3,PMC2,213
L2_PF_MISS_IN_L3,PMC3,696
CORE_TO_L2_CACHE_REQUESTS_HITS,PMC4,4998
RETIRED_INSTRUCTIONS,PMC5,55203
TABLE,Region Jacobiana,Group 1 Metric,L2CACHE,7
Metric,HWThread 0,
Runtime (RDTSC) [s],4.030760e-05,
L2 request rate,0.1481,
L2 miss rate,0.0408,
L2 miss ratio,0.2755,
L2 accesses,8175,
L2 hits,5923,
L2 misses,2252,
STRUCT,Info,3
CPU name:,AMD Ryzen 7 5800X 8-Core Processor             ,
CPU type:,AMD K19 (Zen3) architecture,
CPU clock:,3.791288063 GHz,
TABLE,Region Sistema Linear.,Group 1 Raw,L2CACHE,6
Region Info,HWThread 0,
RDTSC Runtime [s],0.000108,
call count,1,
Event,Counter,HWThread 0
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC0,104681
L2_PF_HIT_IN_L2,PMC1,51148
L2_PF_HIT_IN_L3,PMC2,2188
L2_PF_MISS_IN_L3,PMC3,62
CORE_TO_L2_CACHE_REQUESTS_HITS,PMC4,103893
RETIRED_INSTRUCTIONS,PMC5,1727527
TABLE,Region Sistema Linear.,Group 1 Metric,L2CACHE,7
Metric,HWThread 0,
Runtime (RDTSC) [s],0.0001,
L2 request rate,0.0915,
L2 miss rate,0.0018,
L2 miss ratio,0.0192,
L2 accesses,158079,
L2 hits,155041,
L2 misses,3038,
